Anahtar,İsim,Konum,Renk,manuelTag,manuelNo,resetTag,resetNo,type
A0A.L002,100,100,#FF5731,V_SELECT_MANUALS_C1_1_1_2,10,V_RESET_C1_1,10,1
A02.L002,200,100,#FF5731,V_SELECT_MANUALS_C1_1_1_2,15,V_RESET_C1_1,12,1
ME02.L002,300,100,#FF5731,V_SELECT_MANUALS_C1_3,31,a,-1,2
ME03.L002,400,100,#FF5731,V_SELECT_MANUALS_C1_3,32,a,-1,2
ME01.L030,100,300,#FF5731,V_SELECT_MANUALS_C6,51,V_RESET_C6,51,3
ME02.L030,200,300,#FF5731,V_SELECT_MANUALS_C6,52,V_RESET_C6,52,3
RM01.L002,300,300,#FF5731,V_SELECT_MANUALS_C6,1,V_RESET_C6,1,4
RM2.L002,400,300,#FF5731,V_SELECT_MANUALS_C6,4,V_RESET_C6,4,4
